station,total
Grove St PATH,91554
Exchange Place,43075
Hamilton Park,40528
Sip Ave,34494
Newport PATH,31573
Harborside,23745
Marin Light Rail,20488
Newport Pkwy,20144
Morris Canal,19501
Newark Ave,19045
Warren St,18491
City Hall,18298
Van Vorst Park,17084
Paulus Hook,16944
Brunswick & 6th,15548
Jersey & 3rd,15246
Washington St,14723
Liberty Light Rail,14483
Columbus Drive,14281
Jersey & 6th St,14270
Brunswick St,14200
Essex Light Rail,13547
Manila & 1st,13403
Monmouth and 6th,11638
Journal Square,11119
Dixon Mills,10995
JC Medical Center,10382
McGinley Square,9987
Oakland Ave,9433
Pershing Field,8555
Grand St,8309
Baldwin at Montgomery,7533
York St,6341
Astor Place,5844
Lincoln Park,5792
Hilltop,5477
Leonard Gordon Park,5140
Montgomery St,5043
Heights Elevator,4999
Bergen Ave,4521
Fairmount Ave,4457
Christ Hospital,4055
Lafayette Park,3957
Riverview Park,3808
5 Corners Library,3777
Communipaw & Berry Lane,2860
Dey St,2785
Union St,2315
Glenwood Ave,1978
Jackson Square,739
Garfield Ave Station,326
West Side Light Rail,138
NJCU,100
MLK Light Rail,79
Bayside Park,65
Bethune Center,48
Columbia Park,36
Danforth Light Rail,35
