,2017,2018,change
Grove St PATH,80796.0,91554.0,10758.0
Newport PATH,25916.0,31573.0,5657.0
Sip Ave,29716.0,34494.0,4778.0
Marin Light Rail,15869.0,20488.0,4619.0
Brunswick & 6th,12268.0,15548.0,3280.0
Pershing Field,5304.0,8555.0,3251.0
Manila & 1st,10311.0,13403.0,3092.0
Newport Pkwy,17070.0,20144.0,3074.0
Hamilton Park,37524.0,40528.0,3004.0
Jersey & 6th St,12062.0,14270.0,2208.0
Leonard Gordon Park,3166.0,5140.0,1974.0
Newark Ave,17333.0,19045.0,1712.0
Astor Place,4313.0,5844.0,1531.0
Jersey & 3rd,13743.0,15246.0,1503.0
Monmouth and 6th,10251.0,11638.0,1387.0
Oakland Ave,8186.0,9433.0,1247.0
Hilltop,4263.0,5477.0,1214.0
Heights Elevator,3789.0,4999.0,1210.0
Communipaw & Berry Lane,1797.0,2860.0,1063.0
City Hall,17270.0,18298.0,1028.0
Liberty Light Rail,13615.0,14483.0,868.0
Union St,1451.0,2315.0,864.0
Lincoln Park,5000.0,5792.0,792.0
Baldwin at Montgomery,6791.0,7533.0,742.0
Paulus Hook,16218.0,16944.0,726.0
Dixon Mills,10305.0,10995.0,690.0
Riverview Park,3181.0,3808.0,627.0
Columbus Drive,13824.0,14281.0,457.0
Brunswick St,14001.0,14200.0,199.0
Van Vorst Park,16916.0,17084.0,168.0
Christ Hospital,3957.0,4055.0,98.0
Warren St,18416.0,18491.0,75.0
5 Corners Library,3816.0,3777.0,-39.0
Dey St,2982.0,2785.0,-197.0
Exchange Place,43305.0,43075.0,-230.0
McGinley Square,10340.0,9987.0,-353.0
JC Medical Center,11000.0,10382.0,-618.0
Lafayette Park,4580.0,3957.0,-623.0
Essex Light Rail,15944.0,13547.0,-2397.0
Morris Canal,22620.0,19501.0,-3119.0
